base_image,filter,kernel,psnr,ssim,sam,scc
gauss,none,0,23.71,0.4649,1.5708,0.2427
sp,none,0,21.79,0.6355,1.5708,0.3419
original,media,3,30.68,0.9126,1.5708,0.3103
original,media,5,26.65,0.8340,1.5708,0.0198
original,media,11,22.49,0.6847,1.5708,0.0023
original,media,29,18.10,0.5425,1.5708,0.0056
original,gaussian,3,32.38,0.9308,1.5708,0.4498
original,gaussian,5,29.94,0.9036,1.5708,0.3448
original,gaussian,11,25.78,0.8124,1.5708,0.1536
original,gaussian,29,21.40,0.6616,1.5708,0.0222
original,median,3,33.01,0.9319,1.5708,0.4432
original,median,5,29.05,0.8858,1.5708,0.2950
original,median,11,24.20,0.7675,1.5708,0.1500
original,median,29,19.30,0.6173,1.5708,0.0365
original,bilateral,3,37.74,0.9598,1.5708,0.6447
original,bilateral,5,37.48,0.9558,1.5708,0.6028
original,bilateral,11,35.84,0.9359,1.5708,0.5322
original,bilateral,29,31.03,0.8898,1.5708,0.4775
gauss,media,3,27.55,0.7525,1.5708,0.1706
gauss,media,5,25.62,0.7637,1.5708,0.0063
gauss,media,11,22.13,0.6582,1.5708,-0.0012
gauss,media,29,17.92,0.5286,1.5708,0.0061
gauss,gaussian,3,27.98,0.7435,1.5708,0.2901
gauss,gaussian,5,27.54,0.7852,1.5708,0.2585
gauss,gaussian,11,24.99,0.7681,1.5708,0.1320
gauss,gaussian,29,21.07,0.6402,1.5708,0.0198
gauss,median,3,27.85,0.7099,1.5708,0.1770
gauss,median,5,27.08,0.7670,1.5708,0.1040
gauss,median,11,23.71,0.7130,1.5708,0.0600
gauss,median,29,19.13,0.5873,1.5708,0.0211
gauss,bilateral,3,23.71,0.4650,1.5708,0.2428
gauss,bilateral,5,23.73,0.4662,1.5708,0.2430
gauss,bilateral,11,24.78,0.5261,1.5708,0.2507
gauss,bilateral,29,27.01,0.7111,1.5708,0.2654
sp,media,3,27.69,0.7627,1.5708,0.1781
sp,media,5,25.96,0.7645,1.5708,0.0082
sp,media,11,22.34,0.6687,1.5708,0.0012
sp,media,29,18.03,0.5366,1.5708,0.0038
sp,gaussian,3,27.93,0.7672,1.5708,0.3048
sp,gaussian,5,27.94,0.7930,1.5708,0.2660
sp,gaussian,11,25.37,0.7792,1.5708,0.1427
sp,gaussian,29,21.26,0.6517,1.5708,0.0215
sp,median,3,32.77,0.9306,1.5708,0.4360
sp,median,5,28.97,0.8850,1.5708,0.2898
sp,median,11,24.17,0.7670,1.5708,0.1482
sp,median,29,19.29,0.6172,1.5708,0.0370
sp,bilateral,3,21.79,0.6342,1.5708,0.3313
sp,bilateral,5,21.78,0.6301,1.5708,0.3084
sp,bilateral,11,21.73,0.6152,1.5708,0.2744
sp,bilateral,29,21.51,0.5881,1.5708,0.2498
